code|description
03000000|productos de la agricultura, ganadería, pesca, silvicultura y productos afines
03100000|productos de la agricultura y horticultura
03110000|cultivos, productos comerciales de jardinería y horticultura
03111000|semillas
03111100|soja
03111200|cacahuetes
03111300|semillas de girasol
03111400|semillas de algodón
03111500|semillas de sésamo
03111600|semillas de mostaza
03111700|semillas de hortalizas
03111800|semillas de frutos
03111900|semillas de flores
03112000|tabaco sin elaborar
03113000|plantas utilizadas para la fabricación de azúcar
03113100|remolacha azucarera
03113200|caña de azúcar
03114000|paja y plantas forrajeras
03114100|paja
03114200|plantas forrajeras
03115000|materias vegetales en bruto
03115100|materias vegetales en bruto utilizadas en la fabricación de textiles
03115110|algodón
03115120|yute
03115130|lino
03116000|caucho y látex naturales y productos afines
03116100|caucho natural
03116200|látex natural
03116300|productos de látex
03117000|plantas utilizadas para usos específicos
03117100|plantas utilizadas en perfumería o farmacia, o en la elaboración de insecticidas o con fines análogos
03117110|plantas utilizadas en perfumería
03117120|plantas utilizadas en farmacia
03117130|plantas utilizadas en la elaboración de insecticidas
03117140|plantas utilizadas en la elaboración de pesticidas o fungicidas o con fines análogos
03117200|semillas de plantas utilizadas para usos específicos
03120000|productos de horticultura y viveros
03121000|productos de horticultura
03121100|plantas vivas, bulbos, raíces y esquejes
03121200|flores cortadas
03121210|arreglos florales
03130000|cultivos de especias y de plantas para bebidas
03131000|cultivos de plantas para bebidas
03131100|café en grano
03131200|plantas de té
03131300|mate
03131400|cacao en grano
03132000|especias no manufacturadas
03140000|productos de origen animal y productos afines
03141000|semen de toro
03142000|productos de origen animal
03142100|miel natural
03142200|caracoles
03142300|productos comestibles de origen animal
03142400|ceras
03142500|huevos
03143000|productos de cultivo mixto
03144000|productos para la agricultura
03200000|cereales, patatas, hortalizas, frutas y frutos de cáscara
03210000|cereales y patatas
03211000|cereales
03211100|trigo
03211110|trigo duro
03211120|trigo blando
03211200|maíz
03211300|arroz
03211400|cebada
03211500|centeno
03211600|avena
03211700|malta
03211900|productos de granos
03212000|patatas y legumbres secas
03212100|patatas
03212200|legumbres y hortalizas leguminosas secas
03212210|leguminosas secas
03212211|lentejas
03212212|garbanzos
03212213|guisantes secos
03212220|legumbres
03220000|hortalizas, frutas y frutos de cáscara
03221000|hortalizas
03221100|hortalizas de raíz y tubérculo
03221110|hortalizas de raíz
03221111|remolachas
03221112|zanahorias
03221113|cebollas
03221114|nabos
03221120|hortalizas de tubérculo
03221200|frutos hortícolas
03221210|judías
03221211|habas
03221212|judías verdes
03221213|judías pintas
03221220|guisantes
03221221|guisantes de huerta
03221222|guisantes mollares
03221230|pimientos
03221240|tomates
03221250|calabacines
03221260|champiñones
03221270|pepinos
03221300|hortalizas de hoja
03221310|lechuga
03221320|hojas para ensalada
03221330|alcachofas
03221340|espinacas
03221400|coles
03221410|repollos
03221420|coliflores
03221430|brécoles
03221440|coles de bruselas
03222000|frutas y frutos de cáscara
03222100|frutas y frutos de cáscara tropicales
03222110|frutas tropicales
03222111|plátanos
03222112|piñas
03222113|mangos
03222114|dátiles
03222115|pasas
03222116|higos
03222117|aguacates
03222118|kiwis
03222120|cocos
03222200|cítricos
03222210|limones
03222220|naranjas
03222230|pomelos
03222240|naranjas tangerinas
03222250|limas
03222300|frutas no tropicales
03222310|bayas
03222311|pasas de corinto
03222312|grosellas silvestres
03222313|fresas
03222314|frambuesas
03222315|arándanos
03222320|manzanas, peras y membrillos
03222321|manzanas
03222322|peras
03222323|membrillos
03222330|frutas de hueso
03222331|albaricoques
03222332|melocotones
03222333|cerezas
03222334|ciruelas
03222340|uvas
03222341|uvas de mesa
03222342|uvas de vino
03222400|aceitunas
03300000|productos de la ganadería, la caza y la pesca
03310000|pescado, crustáceos y productos acuáticos
03311000|pescado
03311100|pescado plano
03311110|lenguado
03311120|solla
03311200|pescados de la familia del bacalao
03311210|bacalao
03311220|abadejo
03311230|merluza
03311240|eglefino
03311300|arenque
03311400|atún
03311500|merlán
03311600|morralla
03311700|salmón
03312000|crustáceos
03312100|ostras
03312200|moluscos
03312300|invertebrados acuáticos
03313000|productos acuáticos
03313100|corales o productos similares
03313200|esponjas naturales
03313300|algas marinas
03313310|algas
03320000|ganado y animales pequeños
03321000|ganado bovino
03321100|bovinos adultos
03321200|terneros
03322000|ganado no bovino
03322100|ovejas
03322200|cabras
03322300|caballos
03323000|cerdos
03324000|aves de corral vivas
03325000|animales pequeños
03325100|conejos
03325200|liebres
03330000|productos de animales de granja
03331000|leche fresca de oveja y de cabra
03331100|leche de oveja
03331200|leche de cabra
03332000|lana y pelo de animales
03332100|lana de esquila
03332200|pelo de animal
03333000|leche fresca de vaca
03340000|marcas auriculares para animales
03341000|marcas auriculares para ganado bovino
03400000|productos de la silvicultura y de la explotación forestal
03410000|madera
03411000|madera de coníferas
03412000|madera de especies tropicales
03413000|madera para calefacción
03414000|madera en bruto
03415000|madera blanda
03416000|residuos de madera
03417000|madera de desecho
03417100|serrín
03418000|troncos
03418100|madera dura
03419000|madera de construcción
03419100|productos de madera
03419200|madera de mina
03420000|gomas
03421000|bálsamos
03422000|laca
03430000|corcho
03431000|corcho natural
03432000|artículos de cestería
03432100|artículos de espartería
