,id,zip,file name,entry,Description,CPV,URI
0,0,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_12.atom,489,"Soterramiento de contenedores de residuos en Plaza Pedro Ecija del C.U. de Molina de Segura, incorporando condiciones especiales de ejecución de carácter social relativas a inserción sociolaboral de personas en situación de desempleo de larga duración.",['45233293.0'],https://contrataciondelestado.es/wps/wcm/connect/56d1e5a2-5148-4e6d-82c5-442b6c0be057/DOC20171121143401000099+2017+1069+Documentacion+CONTRATO+MENOR.pdf?MOD=AJPERES
3,3,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_12.atom,45,"Proyecto de promoción de la inserción sociolaboral para personas en situación de exclusión social o alta vulnerabilidad social, a traves de acciones vinculadas al desarrollo de competencias laborales y otras acciones formativas",['80000000.0'],https://contrataciondelestado.es/wps/wcm/connect/944cb054-fed0-47b1-b0d0-bd92130d0852/DOC20171116122352000437+2017+1068+Documentacion+CONTRATO+MENOR.pdf?MOD=AJPERES
5,5,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_11.atom,407,"Supresión de barreras arquitectonicas en varios puntos del centro urbano, para garantizar las condiciones básicas de accesibilidad y no discriminación en el acceso a la utilización de los espacios públicos urbanizados, incluyendo condiciones de inserción sociolaborales",['45233300.0'],https://contrataciondelestado.es/wps/wcm/connect/7c0bae70-26d5-4a55-b46d-cb42b2a73245/DOC20171124130523000092+2017+1069+Documentacion+CONTRATO+MENOR.pdf?MOD=AJPERES
6,6,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_11.atom,383,"Adecuación de parte del semisotano del consultorio medico Juan Antonio Serrano, incorporando condiciones especiales de ejecución de carácter social relativas a inserción sociolaboral de personas en situación de desempleo de larga duranción",['45000000.0'],https://contrataciondelestado.es/wps/wcm/connect/4fb04086-dbbb-4ca5-83ea-c94a13033858/DOC20171025174731000083+2017-1069+PCAP+SEMISOTANO+LA+ALCAYNA.pdf?MOD=AJPERES
7,7,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_11.atom,336,"Contratacion del servicio de ""talleres de educacion en igualdad en el colegio"", con ambito de aplicacion en Molina de Segura, incluyendo condiciones especiales de ejecucion con caracter social relativas a insercion socio laboral de personas en situación de desempleo",['80000000.0'],https://contrataciondelestado.es/wps/wcm/connect/5c914b3d-a7a8-463a-944a-73c6e4a439c5/DOC20170713085843000233+2017+1068+Documentacion+CONTRATO+MENOR.pdf?MOD=AJPERES
8,8,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_11.atom,214,"Obras de acondicionamiento de parcela en La Barceloneta para huerto urbano, incorporando medidas especiales de ejecución de carácter social relativas a inserción socio-laboral de personas en situación de desempleo de larga duración",['45000000.0'],https://contrataciondelestado.es/wps/wcm/connect/7d6008fd-ec4e-436a-8e85-f48f98fd23cf/DOC20171026121921000085+2017+1069+Documentacion+CONTRATO+MENOR.pdf?MOD=AJPERES
9,9,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_11.atom,25,"Obras de ajardinamiento de la vía verde a su paso por la avda. de la Industria de Molina de Segura (Murcia), incorporando medidas especiales de ejecución de carácter social, relativas a inserción sociolaboral de personas en situación de desempleo de larga duración",['45000000.0'],https://contrataciondelestado.es/wps/wcm/connect/9dccc8b5-fff3-41f2-aa29-ed2adb4653ff/DOC20171129190329Doc++76+17.pdf?MOD=AJPERES
10,10,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_10.atom,291,"Obras de remodelación de sala y almacen en planta inferior del centro La Ceramica en sala de exposiciones, Concejalia de Juventud Ayto. de Molina de Segura, incorporando condiciones especiales de ejecución de carácter social relativas a insercion sociolaboral de personas en situación de desempleo de larga duración.",['45000000.0'],https://contrataciondelestado.es/wps/wcm/connect/b1d611ec-ca18-4835-9760-1ea334de747c/DOC20171123082834000100+2017+1069+Documentacion+CONTRATO+MENOR.pdf?MOD=AJPERES
12,12,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_5.atom,26,"Prestación del servicio de supervisión y seguimiento de la ciudadanía, de forma externa e independiente, de un proceso de contratación de la Generalitat seleccionado previamente, para comprobar que las partes involucradas se comprometen y mantienen una conducta íntegra durante dicho proceso y para mejorar la transparencia trasladando las conclusiones de la supervisión a la ciudadanía.","['[71000000, 71200000, 79111000]']",https://contrataciondelestado.es/wps/wcm/connect/bc0c137e-61c8-42fb-af7c-72d9a565a8a8/DOC20180103123505PCAP+Auditoria+Ciudadana.pdf?MOD=AJPERES
13,13,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_4.atom,371,"Servicios de actividades de prevención de riesgos laborales de nivel superior de apoyo técnico a los reconocimientos médicos de ingreso a realizar al personal contratado para los programas de empleo emple@joven, emple@30+ e inclusión social.",['85100000.0'],https://contrataciondelestado.es/wps/wcm/connect/8a9416d4-a8af-4824-afe0-10411b4ab14c/DOC20170426175408C-1082017-Informe+tecnico.pdf?MOD=AJPERES
