,zip,file name,entry,Description,CPV,URI,processed_description,lowercase_description
0,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_12.atom,489,"Soterramiento de contenedores de residuos en Plaza Pedro Ecija del C.U. de Molina de Segura, incorporando condiciones especiales de ejecución de carácter social relativas a inserción sociolaboral de personas en situación de desempleo de larga duración.",['45233293.0'],https://contrataciondelestado.es/wps/wcm/connect/56d1e5a2-5148-4e6d-82c5-442b6c0be057/DOC20171121143401000099+2017+1069+Documentacion+CONTRATO+MENOR.pdf?MOD=AJPERES,soterramiento contenedor residuo plaza pedro ecija cu   molín seguro   incorporar condición especial ejecución carácter social relativo inserción sociolaboral persona situación desempleo largo duración,"soterramiento de contenedores de residuos en plaza pedro ecija del c.u. de molina de segura, incorporando condiciones especiales de ejecución de carácter social relativas a inserción sociolaboral de personas en situación de desempleo de larga duración."
1,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_12.atom,45,"Proyecto de promoción de la inserción sociolaboral para personas en situación de exclusión social o alta vulnerabilidad social, a traves de acciones vinculadas al desarrollo de competencias laborales y otras acciones formativas",['80000000.0'],https://contrataciondelestado.es/wps/wcm/connect/944cb054-fed0-47b1-b0d0-bd92130d0852/DOC20171116122352000437+2017+1068+Documentacion+CONTRATO+MENOR.pdf?MOD=AJPERES,proyecto promoción inserción sociolaboral persona situación exclusión social alto vulnerabilidad social   trav acción vinculado desarrollo competencia laboral acción formativo,"proyecto de promoción de la inserción sociolaboral para personas en situación de exclusión social o alta vulnerabilidad social, a traves de acciones vinculadas al desarrollo de competencias laborales y otras acciones formativas"
2,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_11.atom,407,"Supresión de barreras arquitectonicas en varios puntos del centro urbano, para garantizar las condiciones básicas de accesibilidad y no discriminación en el acceso a la utilización de los espacios públicos urbanizados, incluyendo condiciones de inserción sociolaborales",['45233300.0'],https://contrataciondelestado.es/wps/wcm/connect/7c0bae70-26d5-4a55-b46d-cb42b2a73245/DOC20171124130523000092+2017+1069+Documentacion+CONTRATO+MENOR.pdf?MOD=AJPERES,supresión barrera arquitectonica varios punto centro urbano   garantizar condición básico accesibilidad discriminación acceso utilización espacio público urbanizado   incluir condición inserción sociolaboral,"supresión de barreras arquitectonicas en varios puntos del centro urbano, para garantizar las condiciones básicas de accesibilidad y no discriminación en el acceso a la utilización de los espacios públicos urbanizados, incluyendo condiciones de inserción sociolaborales"
3,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_11.atom,383,"Adecuación de parte del semisotano del consultorio medico Juan Antonio Serrano, incorporando condiciones especiales de ejecución de carácter social relativas a inserción sociolaboral de personas en situación de desempleo de larga duranción",['45000000.0'],https://contrataciondelestado.es/wps/wcm/connect/4fb04086-dbbb-4ca5-83ea-c94a13033858/DOC20171025174731000083+2017-1069+PCAP+SEMISOTANO+LA+ALCAYNA.pdf?MOD=AJPERES,adecuación parte semisotano consultorio medico juan antonio serrano   incorporar condición especial ejecución carácter social relativo inserción sociolaboral persona situación desempleo largo duranción,"adecuación de parte del semisotano del consultorio medico juan antonio serrano, incorporando condiciones especiales de ejecución de carácter social relativas a inserción sociolaboral de personas en situación de desempleo de larga duranción"
4,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_11.atom,336,"Contratacion del servicio de ""talleres de educacion en igualdad en el colegio"", con ambito de aplicacion en Molina de Segura, incluyendo condiciones especiales de ejecucion con caracter social relativas a insercion socio laboral de personas en situación de desempleo",['80000000.0'],https://contrataciondelestado.es/wps/wcm/connect/5c914b3d-a7a8-463a-944a-73c6e4a439c5/DOC20170713085843000233+2017+1068+Documentacion+CONTRATO+MENOR.pdf?MOD=AJPERES,contratacion servicio   taller educacion igualdad colegio    ambito aplicacion molina seguro   incluir condición especial ejecucion caracter social relativo insercion socio laboral persona situación desempleo,"contratacion del servicio de ""talleres de educacion en igualdad en el colegio"", con ambito de aplicacion en molina de segura, incluyendo condiciones especiales de ejecucion con caracter social relativas a insercion socio laboral de personas en situación de desempleo"
5,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_11.atom,214,"Obras de acondicionamiento de parcela en La Barceloneta para huerto urbano, incorporando medidas especiales de ejecución de carácter social relativas a inserción socio-laboral de personas en situación de desempleo de larga duración",['45000000.0'],https://contrataciondelestado.es/wps/wcm/connect/7d6008fd-ec4e-436a-8e85-f48f98fd23cf/DOC20171026121921000085+2017+1069+Documentacion+CONTRATO+MENOR.pdf?MOD=AJPERES,obra acondicionamiento parcela barceloneto huerto urbano   incorporar medida especial ejecución carácter social relativo inserción sociolaboral persona situación desempleo largo duración,"obras de acondicionamiento de parcela en la barceloneta para huerto urbano, incorporando medidas especiales de ejecución de carácter social relativas a inserción socio-laboral de personas en situación de desempleo de larga duración"
6,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_11.atom,25,"Obras de ajardinamiento de la vía verde a su paso por la avda. de la Industria de Molina de Segura (Murcia), incorporando medidas especiales de ejecución de carácter social, relativas a inserción sociolaboral de personas en situación de desempleo de larga duración",['45000000.0'],https://contrataciondelestado.es/wps/wcm/connect/9dccc8b5-fff3-41f2-aa29-ed2adb4653ff/DOC20171129190329Doc++76+17.pdf?MOD=AJPERES,obra ajardinamiento vía verde paso avda industria molín seguro   murcia    incorporar medida especial ejecución carácter social   relativo inserción sociolaboral persona situación desempleo largo duración,"obras de ajardinamiento de la vía verde a su paso por la avda. de la industria de molina de segura (murcia), incorporando medidas especiales de ejecución de carácter social, relativas a inserción sociolaboral de personas en situación de desempleo de larga duración"
7,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_10.atom,291,"Obras de remodelación de sala y almacen en planta inferior del centro La Ceramica en sala de exposiciones, Concejalia de Juventud Ayto. de Molina de Segura, incorporando condiciones especiales de ejecución de carácter social relativas a insercion sociolaboral de personas en situación de desempleo de larga duración.",['45000000.0'],https://contrataciondelestado.es/wps/wcm/connect/b1d611ec-ca18-4835-9760-1ea334de747c/DOC20171123082834000100+2017+1069+Documentacion+CONTRATO+MENOR.pdf?MOD=AJPERES,obra remodelación sala almacir planta inferior centro ceramico sala exposición   concejalio juventud ayto   molín seguro   incorporar condición especial ejecución carácter social relativo insercion sociolaboral persona situación desempleo largo duración,"obras de remodelación de sala y almacen en planta inferior del centro la ceramica en sala de exposiciones, concejalia de juventud ayto. de molina de segura, incorporando condiciones especiales de ejecución de carácter social relativas a insercion sociolaboral de personas en situación de desempleo de larga duración."
8,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_5.atom,26,"Prestación del servicio de supervisión y seguimiento de la ciudadanía, de forma externa e independiente, de un proceso de contratación de la Generalitat seleccionado previamente, para comprobar que las partes involucradas se comprometen y mantienen una conducta íntegra durante dicho proceso y para mejorar la transparencia trasladando las conclusiones de la supervisión a la ciudadanía.","['[71000000, 71200000, 79111000]']",https://contrataciondelestado.es/wps/wcm/connect/bc0c137e-61c8-42fb-af7c-72d9a565a8a8/DOC20180103123505PCAP+Auditoria+Ciudadana.pdf?MOD=AJPERES,prestación servicio supervisión seguimiento ciudadanía   forma externo independiente   proceso contratación generalitat seleccionado previamente   comprobar parte involucrado comprometer mantener conducta íntegro dicho proceso mejorar transparencia trasladar conclusión supervisión ciudadanir,"prestación del servicio de supervisión y seguimiento de la ciudadanía, de forma externa e independiente, de un proceso de contratación de la generalitat seleccionado previamente, para comprobar que las partes involucradas se comprometen y mantienen una conducta íntegra durante dicho proceso y para mejorar la transparencia trasladando las conclusiones de la supervisión a la ciudadanía."
9,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_140722_4.atom,371,"Servicios de actividades de prevención de riesgos laborales de nivel superior de apoyo técnico a los reconocimientos médicos de ingreso a realizar al personal contratado para los programas de empleo emple@joven, emple@30+ e inclusión social.",['85100000.0'],https://contrataciondelestado.es/wps/wcm/connect/8a9416d4-a8af-4824-afe0-10411b4ab14c/DOC20170426175408C-1082017-Informe+tecnico.pdf?MOD=AJPERES,servicio actividad prevención riesgo laboral nivel superior apoyo técnico reconocimiento médico ingreso realizar personal contratado programa empleo emplir   joven   emplir    inclusión social,"servicios de actividades de prevención de riesgos laborales de nivel superior de apoyo técnico a los reconocimientos médicos de ingreso a realizar al personal contratado para los programas de empleo emple@joven, emple@30+ e inclusión social."
